"time","V","i_L","der(V)","der(i_L)","i_C","i_R"
0.6860000000000001,24.58661039100112,0.2593161335191164,13.45002960910521,-0.5866103910011198,0.01345002960910521,0.2458661039100112
0.6879999999999999,24.61205669186413,0.2581169396422911,11.99637272364976,-0.612056691864133,0.01199637272364976,0.2461205669186413
0.6899999999999999,24.63457457530316,0.2568697729247991,10.52402717176751,-0.6345745753031622,0.01052402717176751,0.2463457457530316
0.6919999999999999,24.6541348224873,0.2555805347521585,9.039186527285553,-0.6541348224872969,0.009039186527285553,0.246541348224873
0.694,24.67071901765089,0.2542551643129835,7.547974136474622,-0.6707190176508888,0.007547974136474622,0.2467071901765089
0.696,24.68431801803554,0.2528996162055093,6.056436025153905,-0.6843180180355368,0.006056436025153905,0.2468431801803554
0.698,24.69493900440458,0.2515198572086802,4.570467164634357,-0.6949390044045849,0.004570467164634356,0.2469493900440458
0.7,24.70259970589514,0.2501218272769195,3.09583021796811,-0.7025997058951354,0.00309583021796811,0.2470259970589513
0.702,24.70732577560787,0.2487114311281546,1.638173372075863,-0.7073257756078704,0.001638173372075863,0.2470732577560787
0.704,24.7091583925856,0.2472944889000138,0.2029049741578415,-0.7091583925856,0.0002029049741578415,0.247091583925856
0.706,24.70814861207485,0.2458767303686906,-1.204755752057973,-0.7081486120748544,-0.001204755752057973,0.2470814861207485
0.708,24.70435408632235,0.2444638111184051,-2.579729744818376,-0.7043540863223505,-0.002579729744818376,0.2470435408632235
0.71,24.69784655816066,0.2430612106342552,-3.917254947351428,-0.6978465581606592,-0.003917254947351428,0.2469784655816066
0.712,24.68870643385305,0.2416742613480383,-5.212802990492205,-0.6887064338530458,-0.005212802990492205,0.2468870643385305
0.714,24.67702008394387,0.2403081803836695,-6.462020455769268,-0.6770200839438729,-0.006462020455769268,0.2467702008394387
0.716,24.66288504599208,0.2389679448347675,-7.660905625153258,-0.6628850459920805,-0.007660905625153258,0.2466288504599208
0.718,24.64640661352133,0.2376583266001217,-8.805739535091616,-0.6464066135213322,-0.008805739535091617,0.2464640661352133
0.72,24.62769534591141,0.2363839368119915,-9.893016647122638,-0.6276953459114125,-0.009893016647122638,0.2462769534591141
0.722,24.60686961583645,0.2351491186681621,-10.91957749020236,-0.6068696158364482,-0.01091957749020236,0.2460686961583645
0.724,24.58405452775398,0.2339579468262327,-11.8825984513071,-0.5840545277539775,-0.0118825984513071,0.2458405452775398
0.726,24.55937932208404,0.2328142962769654,-12.77949694387501,-0.5593793220840411,-0.01277949694387501,0.2455937932208404
0.728,24.53297819533919,0.2317217671324575,-13.60801482093446,-0.5329781953391937,-0.01360801482093446,0.2453297819533919
0.73,24.50499047069435,0.2306836347227508,-14.36626998419271,-0.5049904706943487,-0.01436626998419271,0.2450499047069435
0.732,24.47555824888343,0.2297029431028823,-15.05263938595205,-0.4755582488834342,-0.01505263938595205,0.2447555824888343
0.734,24.44482624206901,0.2287824695088055,-15.66579291188455,-0.4448262420690092,-0.01566579291188455,0.2444482624206901
0.736,24.41294224951504,0.2279246224096706,-16.20480008547975,-0.4129422495150372,-0.01620480008547975,0.2441294224951504
0.738,24.38005533333191,0.2271315563899767,-16.66899694334245,-0.3800553333319137,-0.01666899694334245,0.2438005533333191
0.74,24.34631530339871,0.2264051771048788,-17.05797592910832,-0.3463153033987147,-0.01705797592910832,0.2434631530339871
0.742,24.31187275250352,0.2257469932500946,-17.3717342749406,-0.3118727525035219,-0.0173717342749406,0.2431187275250352
0.744,24.27687794406204,0.2251582471516773,-17.61053228894316,-0.2768779440620435,-0.01761053228894316,0.2427687794406204
0.746,24.24148044774899,0.2246399558289202,-17.77484864856962,-0.2414804477489874,-0.01777484864856962,0.2424148044774899
0.748,24.20582821992015,0.2241927287956409,-17.86555340356055,-0.2058282199201464,-0.01786555340356055,0.2420582821992015
0.75,24.1700672975786,0.2238169073558909,-17.88376561989508,-0.1700672975786013,-0.01788376561989508,0.241700672975786
0.752,24.13434193600915,0.2235126338746094,-17.83078548548209,-0.1343419360091502,-0.01783078548548209,0.2413434193600915
0.754,24.09879244915156,0.2232796506151919,-17.70827387632371,-0.09879244915156349,-0.0177082738763237,0.2409879244915156
0.756,24.06355571985427,0.2231174403703845,-17.51811682815821,-0.06355571985427488,-0.01751811682815821,0.2406355571985427
0.758,24.02876604555483,0.2230253140985296,-17.26234635701868,-0.02876604555483198,-0.01726234635701868,0.2402876604555483
0.76,23.99455166253151,0.223002207006157,-16.9433096191581,0.005448337468489939,-0.0169433096191581,0.2399455166253151
0.762,23.96103613048934,0.223046819177619,-16.56354212727432,0.03896386951066333,-0.01656354212727432,0.2396103613048934
0.764,23.9283393614649,0.2231576829833561,-16.12571063129292,0.07166063853509641,-0.01612571063129292,0.239283393614649
0.766,23.89657412652868,0.2233330280868145,-15.63271317847231,0.1034258734713198,-0.01563271317847231,0.2389657412652868
0.768,23.86584706422171,0.2235708585629939,-15.08761207922321,0.1341529357782854,-0.01508761207922321,0.2386584706422172
0.77,23.83626013377011,0.2238690242651584,-14.49357707254276,0.1637398662298857,-0.01449357707254276,0.2383626013377012
0.772,23.8079078609259,0.2242251503801971,-13.85392822906192,0.1920921390740951,-0.01385392822906192,0.2380790786092591
0.774,23.7808771767655,0.2246366551339817,-13.17211663367332,0.2191228232344997,-0.01317211663367332,0.237808771767655
0.776,23.75524949406417,0.225100826013083,-12.45166892755872,0.2447505059358299,-0.01245166892755872,0.2375524949406417
0.778,23.73109894900026,0.2256147943508175,-11.6961951391851,0.2689010509997374,-0.0116961951391851,0.2373109894900026
0.78,23.70849087674643,0.2261755183754535,-10.90939039201089,0.2915091232535651,-0.01090939039201089,0.2370849087674644
0.782,23.68748446707991,0.2267798557126024,-10.09498895819669,0.3125155329200879,-0.01009498895819669,0.2368748446707991
0.784,23.66813209299216,0.2274245658713548,-9.256755058566741,0.3318679070078439,-0.00925675505856674,0.2366813209299216
0.786,23.65047648319236,0.2281062812809932,-8.398483550930369,0.3495235168076434,-0.008398483550930369,0.2365047648319236
0.788,23.63455383904136,0.2288215689300565,-7.523969460357161,0.365446160958637,-0.007523969460357161,0.2363455383904136
0.79,23.62039418774007,0.229566945382089,-6.636996495311659,0.379605812259932,-0.006636996495311659,0.2362039418774007
0.792,23.60801749669585,0.230338854582419,-5.74132038453945,0.3919825033041526,-0.00574132038453945,0.2360801749669585
0.794,23.59743708708406,0.2311337133910132,-4.840657479827398,0.4025629129159434,-0.004840657479827398,0.2359743708708406
0.796,23.58866083959492,0.2319479264577259,-3.938681938223332,0.4113391604050776,-0.003938681938223332,0.2358866083959492
0.798,23.58168661131916,0.2327778846966603,-3.038981416531306,0.4183133886808399,-0.003038981416531306,0.2358168661131916
0.8,23.57650576017427,0.2336199915677211,-2.145066034021592,0.4234942398257253,-0.002145066034021592,0.2357650576017427
0.802,23.57310496382776,0.2344706683541458,-1.260381284131806,0.4268950361722439,-0.001260381284131806,0.2357310496382776
0.804,23.57146135175392,0.235326381947911,-0.3882315696281946,0.4285386482460787,-0.0003882315696281946,0.2357146135175392
0.806,23.57154595609611,0.2361836507991496,0.4681912381885311,0.4284540439038906,0.0004681912381885311,0.2357154595609611
0.8080000000000001,23.57332587543694,0.2370390344948247,1.305775740455234,0.426674124563057,0.001305775740455234,0.2357332587543694
0.8100000000000001,23.57675953179502,0.2378891944115372,2.121599093587001,0.4232404682049768,0.002121599093587001,0.2357675953179502
0.8120000000000001,23.58180003755387,0.2387308773563114,2.912876980772722,0.4181999624461277,0.002912876980772722,0.2358180003755387
0.8139999999999999,23.58839666630522,0.2395609002741022,3.676933611049926,0.411603333694778,0.003676933611049926,0.2358839666630522
0.8159999999999999,23.59649214424271,0.2403762153546633,4.411293912236158,0.4035078557572866,0.004411293912236158,0.2359649214424271
0.8179999999999999,23.60602418025375,0.2411738998348847,5.113658032347201,0.3939758197462453,0.005113658032347201,0.2360602418025375
0.82,23.6169271527767,0.2419511283822744,5.781856854507411,0.3830728472232963,0.005781856854507411,0.236169271527767
0.822,23.62913082402306,0.2427052280578174,6.413919817586766,0.3708691759769351,0.006413919817586766,0.2362913082402306
0.824,23.64256061056625,0.2434336901273546,7.008084021692146,0.3574393894337504,0.007008084021692146,0.2364256061056625
